cluster,month,month_name,mean_hcho
0,1,Jan,0.0001603420085339185
0,2,Feb,0.0001788064623894321
0,3,Mar,0.0002044499556438876
0,4,Apr,0.00023866829234113924
0,5,May,0.0002634111124367022
0,6,Jun,0.00024226965736327856
0,7,Jul,0.00016048530972140638
0,8,Aug,0.00015276815147297204
0,9,Sep,0.0001651082526828625
0,10,Oct,0.0001921398121176105
0,11,Nov,0.00021347386015083768
0,12,Dec,0.00018622590945355057
3,1,Jan,0.00015081994440141577
3,2,Feb,0.00022217004176064168
3,3,Mar,0.0003153248469486301
3,4,Apr,0.00032750992450444297
3,5,May,0.00024285131301780613
3,6,Jun,0.00013181908589585177
3,7,Jul,0.00010358563232422486
3,8,Aug,9.572940622666063e-05
3,9,Sep,0.0001333109233974477
3,10,Oct,0.00013692724465812396
3,11,Nov,0.0001484953869706434
3,12,Dec,0.00014292486055322726
6,1,Jan,0.00015441855621982833
6,2,Feb,0.00024782680549419194
6,3,Mar,0.00043857746055400796
6,4,Apr,0.0003498201201803964
6,5,May,0.00022383876903791743
6,6,Jun,9.695497846032227e-05
6,7,Jul,7.961903845973487e-05
6,8,Aug,7.453305018159458e-05
6,9,Sep,0.00010891820049803301
6,10,Oct,0.00012122997729477618
6,11,Nov,0.00011846312352270326
6,12,Dec,0.00012949573172610663
5,1,Jan,0.00012407408009989523
5,2,Feb,0.00015156885878909673
5,3,Mar,0.00019203213020781225
5,4,Apr,0.00021976171218246243
5,5,May,0.00021830945783752234
5,6,Jun,0.00022435614617498002
5,7,Jul,0.00011993469045227158
5,8,Aug,0.0001265070082511893
5,9,Sep,0.00013286430559455864
5,10,Oct,0.0001921971149797787
5,11,Nov,0.00024921455487392365
5,12,Dec,0.00015806299815985083
2,1,Jan,0.00014914178503826602
2,2,Feb,0.00014077005090148086
2,3,Mar,0.0001393105374307505
2,4,Apr,0.00016292086139813082
2,5,May,0.00018097150757106115
2,6,Jun,0.00019104268612731072
2,7,Jul,0.00020691287651320602
2,8,Aug,0.00017751746324216652
2,9,Sep,0.00019830892117059153
2,10,Oct,0.00020945580490818824
2,11,Nov,0.00019793009482982064
2,12,Dec,0.00014597686579735395
